"Photon energy, eV","n","k"
0.4959367497323989,1.464881,0
0.49693061095430746,1.464882,0
0.4979284635867458,1.464884,0
0.49893033172273527,1.464886,0
0.4999362396495956,1.464888,0
0.5009462118509079,1.46489,0
0.5019602730085008,1.464892,0
0.5029784480044613,1.464895,0
0.5040007619231696,1.464897,0
0.5050272400533593,1.464899,0
0.5060579078902029,1.464901,0
0.5070927911374221,1.464903,0
0.5081319157094251,1.464905,0
0.5091753077334691,1.464907,0
0.5102229935518506,1.464909,0
0.5112749997241226,1.464911,0
0.5123313530293376,1.464913,0
0.5133920804683217,1.464916,0
0.5144572092659739,1.464918,0
0.5155267668735956,1.46492,0
0.5166007809712488,1.464922,0
0.5176792794701449,1.464924,0
0.5187622905150615,1.464927,0
0.5198498424867913,1.464929,0
0.5209419640046207,1.464931,0
0.5220386839288409,1.464933,0
0.5231400313632899,1.464936,0
0.5242460356579268,1.464938,0
0.5253567264114395,1.46494,0
0.5264721334738841,1.464943,0
0.5275922869493604,1.464945,0
0.5287172171987194,1.464947,0
0.5298469548423065,1.46495,0
0.5309815307627397,1.464952,0
0.532120976107724,1.464955,0
0.5332653222929019,1.464957,0
0.5344146010047401,1.464959,0
0.5355688442034545,1.464962,0
0.5367280841259727,1.464964,0
0.5378923532889358,1.464967,0
0.539061684491738,1.464969,0
0.5402361108196067,1.464972,0
0.5414156656467236,1.464974,0
0.542600382639386,1.464977,0
0.5437902957592093,1.46498,0
0.5449854392663724,1.464982,0
0.5461858477229062,1.464985,0
0.5473915559960252,1.464987,0
0.5486025992615032,1.46499,0
0.5498190130070941,1.464993,0
0.5510408330359987,1.464995,0
0.5522680954703774,1.464998,0
0.5535008367549094,1.465001,0
0.5547390936604014,1.465003,0
0.5559829032874427,1.465006,0
0.5572323030701111,1.465009,0
0.5584873307797283,1.465012,0
0.5597480245286669,1.465015,0
0.5610144227742069,1.465017,0
0.5622865643224476,1.46502,0
0.5635644883322714,1.465023,0
0.5648482343193609,1.465026,0
0.5661378421602726,1.465029,0
0.5674333520965662,1.465032,0
0.5687348047389895,1.465035,0
0.5700422410717229,1.465038,0
0.5713557024566808,1.465041,0
0.572675230637874,1.465044,0
0.5740008677458319,1.465047,0
0.5753326563020869,1.46505,0
0.5766706392237196,1.465053,0
0.5780148598279707,1.465056,0
0.5793653618369146,1.465059,0
0.5807221893822001,1.465062,0
0.5820853870098578,1.465065,0
0.5834549996851751,1.465069,0
0.5848310727976401,1.465072,0
0.586213652165956,1.465075,0
0.5876027840431266,1.465078,0
0.5889985151216138,1.465081,0
0.5904008925385701,1.465085,0
0.5918099638811442,1.465088,0
0.5932257771918646,1.465091,0
0.5946483809740993,1.465095,0
0.5960778241975948,1.465098,0
0.597514156304095,1.465102,0
0.5989574272130421,1.465105,0
0.6004076873273594,1.465108,0
0.6018649875393189,1.465112,0
0.6033293792364949,1.465115,0
0.6048009143078036,1.465119,0
0.6062796451496318,1.465123,0
0.6077656246720574,1.465126,0
0.6092589063051582,1.46513,0
0.6107595440054173,1.465133,0
0.6122675922622208,1.465137,0
0.613783106104454,1.465141,0
0.6153061411071946,1.465145,0
0.6168367533985061,1.465148,0
0.6183749996663328,1.465152,0
0.6199209371654986,1.465156,0
0.6214746237248105,1.46516,0
0.6230361177542699,1.465164,0
0.6246054782523914,1.465167,0
0.6261827648136349,1.465171,0
0.6277680376359479,1.465175,0
0.6293613575284249,1.465179,0
0.6309627859190825,1.465183,0
0.6325723848627537,1.465187,0
0.6341902170491034,1.465192,0
0.6358163458107677,1.465196,0
0.637450835131618,1.4652,0
0.6390937496551532,1.465204,0
0.6407451546930217,1.465208,0
0.6424051162336772,1.465212,0
0.6440737009511673,1.465217,0
0.6457509762140611,1.465221,0
0.6474370100945155,1.465225,0
0.6491318713774854,1.46523,0
0.6508356295700772,1.465234,0
0.6525483549110511,1.465239,0
0.6542701183804734,1.465243,0
0.6560009917095223,1.465248,0
0.6577410473904494,1.465252,0
0.6594903586867006,1.465257,0
0.6612489996431985,1.465261,0
0.6630170450967898,1.465266,0
0.6647945706868618,1.465271,0
0.6665816528661275,1.465275,0
0.6683783689115887,1.46528,0
0.6701847969356741,1.465285,0
0.6720010158975595,1.46529,0
0.6738271056146723,1.465295,0
0.6756631467743853,1.4653,0
0.6775092209459,1.465305,0
0.6793654105923272,1.46531,0
0.6812317990829654,1.465315,0
0.6831084707057835,1.46532,0
0.6849955106801089,1.465325,0
0.6868930051695276,1.46533,0
0.6888010412949984,1.465335,0
0.6907197071481879,1.465341,0
0.6926490918050263,1.465346,0
0.6945892853394943,1.465351,0
0.6965403788376389,1.465357,0
0.6985024644118294,1.465362,0
0.7004756352152526,1.465368,0
0.7024599854566557,1.465373,0
0.7044556104153393,1.465379,0
0.7064626064564087,1.465385,0
0.7084810710462841,1.46539,0
0.7105111027684797,1.465396,0
0.7125528013396535,1.465402,0
0.7146062676259349,1.465408,0
0.716671603659536,1.465413,0
0.7187489126556504,1.465419,0
0.7208382990296495,1.465425,0
0.7229398684145756,1.465431,0
0.7250537276789457,1.465438,0
0.7271799849448664,1.465444,0
0.7293187496064689,1.46545,0
